id,query,category,difficulty,gt_intent,system,detected_intent,intent_correct,response,engine,response_time_ms,hallu_check_ref,hallucination
A01,환불 신청 어떻게 해요?,A_정형,Easy,환불_절차_문의,rule_only,환불_절차_문의,1,"마이페이지 > 주문내역에서 환불 신청이 가능합니다. 수령 후 7일 이내, 미개봉 상태에서 신청해주세요.",rule-only-simulated,3232,환불: 수령 후 7일 이내 신청 가능,
A01,환불 신청 어떻게 해요?,A_정형,Easy,환불_절차_문의,llm_only,환불_절차_문의,1,"환불 신청을 위해서는 다음 단계를 따라주시면 됩니다:

1. **로그인**: 먼저 쇼핑몰 계정에 로그인해주세요.

2. **주문 내역 확인**: '내 주문' 또는 '주문 내역' 페이지로 이동하여 환불을 원하는 주문을 선택합니다.

3. **환불 신청**: 해당 주문의 상세 페이지에서 '환불 신청' 버튼을 클릭합니다.

4. **사유 선택 및 설명**: 환불 사유를 선택하고, 필요한 경우 추가 설명을 입력합니다.

5. **반품 방법 선택**: 상품을 반품해야 하는 경우, 반품 방법을 선택합니다. 택배 수거 서비스나 직접 발송 중 선택할 수 있습니다.

6. **신청 완료**: 모든 정보를 확인한 후 '신청 완료' 버튼을 눌러주세요.

환불 요청이 접수되면, 확인 이메일을 받게 되며, 상품이 반품 센터에 도착한 후 환불 처리가 진행됩니다. 환불이 완료되면 이메일로 안내드리겠습니다. 추가로 궁금한 점이 있으시면 언제든지 문의해주세요!",llm-only-gpt4o,5898,환불: 수령 후 7일 이내 신청 가능,
A01,환불 신청 어떻게 해요?,A_정형,Easy,환불_절차_문의,hybrid_rag,환불_절차_문의,1,'rag' 모드로 '환불_절차_문의' 분류됨,strategy-rag,3754,환불: 수령 후 7일 이내 신청 가능,
A02,환불 절차 좀 알려주세요,A_정형,Easy,환불_절차_문의,rule_only,환불_절차_문의,1,"마이페이지 > 주문내역에서 환불 신청이 가능합니다. 수령 후 7일 이내, 미개봉 상태에서 신청해주세요.",rule-only-simulated,3231,환불: 수령 후 7일 이내 신청 가능,
A02,환불 절차 좀 알려주세요,A_정형,Easy,환불_절차_문의,llm_only,환불_절차_문의,1,"물론입니다! 환불 절차에 대해 안내해드리겠습니다.

1. **환불 요청 접수**: 먼저, 고객님께서 구매하신 상품의 주문 내역으로 이동하여 환불을 요청하셔야 합니다. 보통 '주문 내역' 페이지에서 해당 주문을 선택하고 '환불 요청' 버튼을 클릭하시면 됩니다.

2. **반품 신청**: 환불 요청 후, 상품을 반품하셔야 합니다. 상품과 함께 동봉된 반품 양식을 작성하시고, 상품을 안전하게 포장하여 지정된 반품 주소로 보내주세요. 반품 배송비는 상품의 상태나 반품 사유에 따라 다를 수 있습니다.

3. **상품 검수**: 저희가 반품된 상품을 받으면, 상품의 상태를 검수합니다. 상품이 손상되지 않고, 사용되지 않은 상태여야 환불이 가능합니다.

4. **환불 처리**: 검수가 완료되면, 환불이 처리됩니다. 결제하신 방법에 따라 환불이 진행되며, 신용카드 결제의 경우 카드사에 따라 환불 완료까지 영업일 기준 5-7일 정도 소요될 수 있습니다.

혹시 더 궁금한 사항이 있거나 도움이 필요하시면 언제든지 말씀해 주세요!",llm-only-gpt4o,6100,환불: 수령 후 7일 이내 신청 가능,
A02,환불 절차 좀 알려주세요,A_정형,Easy,환불_절차_문의,hybrid_rag,환불_절차_문의,1,'rag' 모드로 '환불_절차_문의' 분류됨,strategy-rag,3721,환불: 수령 후 7일 이내 신청 가능,
A03,반품하려면 어디로 보내야 하나요?,A_정형,Easy,환불_절차_문의,rule_only,환불_절차_문의,1,"마이페이지 > 주문내역에서 환불 신청이 가능합니다. 수령 후 7일 이내, 미개봉 상태에서 신청해주세요.",rule-only-simulated,3787,반품 택배: 접수 후 안내되는 주소로 발송,
A03,반품하려면 어디로 보내야 하나요?,A_정형,Easy,환불_절차_문의,llm_only,환불_절차_문의,1,"반품을 원하시는 경우, 먼저 저희 고객센터에 연락하여 반품 신청을 해주셔야 합니다. 반품 신청이 승인되면, 반품에 필요한 라벨과 함께 반품 주소를 이메일로 보내드립니다. 일반적으로 반품 주소는 상품을 받으신 곳과 동일한 물류센터입니다.

반품 절차는 다음과 같습니다:
1. 고객센터에 반품 신청 접수
2. 반품 승인 및 반품 라벨 수령
3. 상품을 안전하게 포장하여 반품 라벨 부착
4. 지정된 택배사를 통해 반품 발송

반품이 정상적으로 처리되면, 환불 절차가 진행됩니다. 반품 관련 추가 문의 사항이 있으시면 언제든지 말씀해 주세요. 감사합니다!",llm-only-gpt4o,2913,반품 택배: 접수 후 안내되는 주소로 발송,
A03,반품하려면 어디로 보내야 하나요?,A_정형,Easy,환불_절차_문의,hybrid_rag,환불_절차_문의,1,'rag' 모드로 '환불_절차_문의' 분류됨,strategy-rag,5156,반품 택배: 접수 후 안내되는 주소로 발송,
A04,구매한 상품 환불하고 싶습니다,A_정형,Easy,환불_절차_문의,rule_only,환불_절차_문의,1,"마이페이지 > 주문내역에서 환불 신청이 가능합니다. 수령 후 7일 이내, 미개봉 상태에서 신청해주세요.",rule-only-simulated,2680,환불: 수령 후 7일 이내 신청 가능,
